name,abv
Zoroastrian Dari,gbz
Scottish Gaelic,gd
Geez,gez
Gilbertese,gil
Galician,gl
Gilaki,glk
Middle High German,gmh
Guarani,gn
Old High German,goh
Goan Konkani,gom
Gondi,gon
Gorontalo,gor
Gothic,got
Grebo,grb
Ancient Greek,grc
Swiss German,gsw
Gujarati,gu
Wayuu,guc
Frafra,gur
Gusii,guz
Manx,gv
Gwichʼin,gwi
Hausa,ha
Haida,hai
Hakka Chinese,hak
Hawaiian,haw
Hebrew,he
Hindi,hi
Fiji Hindi,hif
Hiligaynon,hil
Hittite,hit
Hmong,hmn
Hiri Motu,ho
Croatian,hr
Upper Sorbian,hsb
Xiang Chinese,hsn
Haitian,ht
Hangri kasa,hu
Hupa,hup
Armenian,hy
Herero,hz
Interlingua,ia
Iban,iba
Ibibio,ibb
Indonihyia kasa,id
Interlingue,ie
Igbo,ig
Sichuan Yi,ii
Inupiaq,ik
Iloko,ilo
Ingush,inh
Ido,io
Icelandic,is
Italy kasa,it
Inuktitut,iu
Ingrian,izh
Gyapan kasa,ja
Jamaican Creole English,jam
Lojban,jbo
Ngomba,jgo
Machame,jmc
Judeo-Persian,jpr
Judeo-Arabic,jrb
Jutish,jut
Gyabanis kasa,jv
Georgian,ka
Kara-Kalpak,kaa
Kabyle,kab
Kachin,kac
Jju,kaj
Kamba,kam
Kawi,kaw
Kabardian,kbd
Kanembu,kbl
Tyap,kcg
Makonde,kde
Kabuverdianu,kea
Kenyang,ken
Koro,kfo
Kongo,kg
Kaingang,kgp
Khasi,kha
Khotanese,kho
Koyra Chiini,khq
Khowar,khw
Kikuyu,ki
Kirmanjki,kiu
Kuanyama,kj
Kazakh,kk
Kako,kkj
Kalaallisut,kl
Kalenjin,kln
Kambodia kasa,km
Kimbundu,kmb
Kannada,kn
Korea kasa,ko
Komi-Permyak,koi
Konkani,kok
Kosraean,kos
Kpelle,kpe
Kanuri,kr
Karachay-Balkar,krc
Krio,kri
Kinaray-a,krj
Karelian,krl
Kurukh,kru
Kashmiri,ks
Shambala,ksb
Bafia,ksf
Colognian,ksh
Kurdish,ku
Kumyk,kum
Kutenai,kut
Komi,kv
Cornish,kw
Kyrgyz,ky
Latin,la
Ladino,lad
Langi,lag
Lahnda,lah
Lamba,lam
Luxembourgish,lb
Lezghian,lez
Lingua Franca Nova,lfn
Ganda,lg
Limburgish,li
Ligurian,lij
Livonian,liv
Lakota,lkt
Lombard,lmo
Lingala,ln
Lao,lo
Mongo,lol
Lozi,loz
Lithuanian,lt
Latgalian,ltg
Luba-Katanga,lu
Luba-Lulua,lua
Luiseno,lui
Lunda,lun
Luo,luo
Mizo,lus
Luyia,luy
Latvian,lv
Literary Chinese,lzh
Laz,lzz
Madurese,mad
Mafa,maf
Magahi,mag
Maithili,mai
Makasar,mak
Mandingo,man
Masai,mas
Maba,mde
Moksha,mdf
Mandar,mdr
Mende,men
Meru,mer
Morisyen,mfe
Malagasy,mg
Middle Irish,mga
Makhuwa-Meetto,mgh
Metaʼ,mgo
Marshallese,mh
Maori,mi
Micmac,mic
Minangkabau,min
Macedonian,mk
Malayalam,ml
Mongolian,mn
Manchu,mnc
Manipuri,mni
Mohawk,moh
Mossi,mos
Marathi,mr
Western Mari,mrj
Malay kasa,ms
Maltese,mt
Mundang,mua
Multiple Languages,mul
Creek,mus
Mirandese,mwl
Marwari,mwr
Mentawai,mwv
Bɛɛmis kasa,my
Myene,mye
Erzya,myv
Mazanderani,mzn
Nauru,na
Min Nan Chinese,nan
Neapolitan,nap
Nama,naq
Norwegian Bokmål,nb
North Ndebele,nd
Low German,nds
Nɛpal kasa,ne
Newari,new
Ndonga,ng
Nias,nia
Niuean,niu
Ao Naga,njo
Dɛɛkye,nl
Flemish,nl_BE
Kwasio,nmg
Norwegian Nynorsk,nn
Ngiemboon,nnh
Norwegian,no
Nogai,nog
Old Norse,non
Novial,nov
NʼKo,nqo
South Ndebele,nr
Northern Sotho,nso
Nuer,nus
Navajo,nv
Classical Newari,nwc
Nyanja,ny
Nyamwezi,nym
Nyankole,nyn
Nyoro,nyo
Nzima,nzi
Occitan,oc
Ojibwa,oj
Oromo,om
Oriya,or
Ossetic,os
Osage,osa
Ottoman Turkish,ota
Pungyabi kasa,pa
Pangasinan,pag
Pahlavi,pal
Pampanga,pam
Papiamento,pap
Palauan,pau
Picard,pcd
Pennsylvania German,pdc
Plautdietsch,pdt
Old Persian,peo
Palatine German,pfl
Phoenician,phn
Pali,pi
Pɔland kasa,pl
Piedmontese,pms
Pontic,pnt
Pohnpeian,pon
Prussian,prg
Old Provençal,pro
Pashto,ps
Pɔɔtugal kasa,pt
Brazilian Portuguese,pt_BR
European Portuguese,pt_PT
Quechua,qu
Kʼicheʼ,quc
Chimborazo Highland Quichua,qug
Rajasthani,raj
Rapanui,rap
Rarotongan,rar
Romagnol,rgn
Riffian,rif
Romansh,rm
Rundi,rn
Romenia kasa,ro
Moldavian,ro_MD
Rombo,rof
Romany,rom
Root,root
Rotuman,rtm
Rahyia kasa,ru
Rusyn,rue
Roviana,rug
Aromanian,rup
Rewanda kasa,rw
Rwa,rwk
Sanskrit,sa
Sandawe,sad
Sakha,sah
Samaritan Aramaic,sam
Samburu,saq
Sasak,sas
Santali,sat
Saurashtra,saz
Ngambay,sba
Sangu,sbp
Sardinian,sc
Sicilian,scn
Scots,sco
Sindhi,sd
Sassarese Sardinian,sdc
Northern Sami,se
Seneca,see
Sena,seh
Seri,sei
Selkup,sel
Koyraboro Senni,ses
Sango,sg
Old Irish,sga
Samogitian,sgs
Serbo-Croatian,sh
Tachelhit,shi
Shan,shn
Chadian Arabic,shu
Sinhala,si
Sidamo,sid
Slovak,sk
Slovenian,sl
Lower Silesian,sli
Selayar,sly
Samoan,sm
Southern Sami,sma
Lule Sami,smj
Inari Sami,smn
Skolt Sami,sms
Shona,sn
Soninke,snk
Somalia kasa,so
Sogdien,sog
Albanian,sq
Serbian,sr
Sranan Tongo,srn
Serer,srr
Swati,ss
Saho,ssy
Southern Sotho,st
Saterland Frisian,stq
Sundanese,su
Sukuma,suk
Susu,sus
Sumerian,sux
Sweden kasa,sv
Swahili,sw
Comorian,swb
Congo Swahili,swc
Classical Syriac,syc
Syriac,syr
Silesian,szl
Tamil kasa,ta
Tulu,tcy
Telugu,te
Timne,tem
Teso,teo
Tereno,ter
Tetum,tet
Tajik,tg
Taeland kasa,th
Tigrinya,ti
Tigre,tig
Tiv,tiv
Turkmen,tk
Tokelau,tkl
Tsakhur,tkr
Tagalog,tl
Klingon,tlh
Tlingit,tli
Talysh,tly
Tamashek,tmh
Tswana,tn
Tongan,to
Nyasa Tonga,tog
Tok Pisin,tpi
Tɛɛki kasa,tr
Turoyo,tru
Taroko,trv
Tsonga,ts
Tsakonian,tsd
Tsimshian,tsi
Tatar,tt
Muslim Tat,ttt
Tumbuka,tum
Tuvalu,tvl
Twi,tw
Tasawaq,twq
Tahitian,ty
Tuvinian,tyv
Central Atlas Tamazight,tzm
Udmurt,udm
Uyghur,ug
Ugaritic,uga
Ukren kasa,uk
Umbundu,umb
Unknown Language,und
Urdu kasa,ur
Uzbek,uz
Vai,vai
Venda,ve
Venetian,vec
Veps,vep
Viɛtnam kasa,vi
West Flemish,vls
Main-Franconian,vmf
Volapük,vo
Votic,vot
Võro,vro
Vunjo,vun
Walloon,wa
Walser,wae
Wolaytta,wal
Waray,war
Washo,was
Warlpiri,wbp
Wolof,wo
Wu Chinese,wuu
Kalmyk,xal
Xhosa,xh
Mingrelian,xmf
Soga,xog
Yao,yao
Yapese,yap
Yangben,yav
Yemba,ybb
Yiddish,yi
Yoruba,yo
Nheengatu,yrl
Cantonese,yue
Zhuang,za
Zapotec,zap
Blissymbols,zbl
Zeelandic,zea
Zenaga,zen
Standard Moroccan Tamazight,zgh
Kyaena kasa,zh
Simplified Chinese,zh_Hans
Traditional Chinese,zh_Hant
Zulu,zu
Zuni,zun
No linguistic content,zxx
Zaza,zza
